segment_id,jam_lunes_00,jam_lunes_01,jam_lunes_02,jam_lunes_03,jam_lunes_04,jam_lunes_05,jam_lunes_06,jam_lunes_07,jam_lunes_08,jam_lunes_09,jam_lunes_10,jam_lunes_11,jam_lunes_12,jam_lunes_13,jam_lunes_14,jam_lunes_15,jam_lunes_16,jam_lunes_17,jam_lunes_18,jam_lunes_19,jam_lunes_20,jam_lunes_21,jam_lunes_22,jam_lunes_23,jam_viernes_00,jam_viernes_01,jam_viernes_02,jam_viernes_03,jam_viernes_04,jam_viernes_05,jam_viernes_06,jam_viernes_07,jam_viernes_08,jam_viernes_09,jam_viernes_10,jam_viernes_11,jam_viernes_12,jam_viernes_13,jam_viernes_14,jam_viernes_15,jam_viernes_16,jam_viernes_17,jam_viernes_18,jam_viernes_19,jam_viernes_20,jam_viernes_21,jam_viernes_22,jam_viernes_23,jam_sabado_00,jam_sabado_01,jam_sabado_02,jam_sabado_03,jam_sabado_04,jam_sabado_05,jam_sabado_06,jam_sabado_07,jam_sabado_08,jam_sabado_09,jam_sabado_10,jam_sabado_11,jam_sabado_12,jam_sabado_13,jam_sabado_14,jam_sabado_15,jam_sabado_16,jam_sabado_17,jam_sabado_18,jam_sabado_19,jam_sabado_20,jam_sabado_21,jam_sabado_22,jam_sabado_23
105,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
106,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
107,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
108,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
109,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
110,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
111,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
112,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
113,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
114,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,0.36259250824338546,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,0.5920329162317644,0.4617438852157182,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,0.398050265089921,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,0.6656784478144576,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,0.5306686487663647,0.43977504543603335,0.11935509717383996,1.7212686666021086,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,0.38661571746558104,0.5069783920974454,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
115,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
116,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
117,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
118,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
119,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
120,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
121,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,3.1767952081698607,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,1.117523366429171,-0.3113925692725048,0.19053933677158869,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.0363617083287459,2.1581871819555722,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,1.277063901784908,7.921825786442178,4.36753699042972,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,0.4097772423641526,-0.3246417992674336,1.1364804797912649,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
122,-0.15221691561188314,-0.10819842576060372,-0.17986625443389923,-0.15169550271260257,-0.09924106163196725,-0.15288314112646278,-0.1316293486053881,-0.1285199731907862,-0.24369270291307066,-0.22670121917911945,-0.20403871201531787,-0.25008011839207833,-0.24010015608833674,-0.3113925692725048,-0.2755887160003102,-0.2865552790537227,-0.26690795585569754,-0.2406162763573441,-0.2789452853645937,-0.316546104697507,-0.2808987659569067,-0.16328305670128737,-0.15072707690265286,-0.17836477999487002,-0.1555665877770401,-0.1330708393134726,-0.09660362567902846,-0.13987277684218832,-0.13008163102981501,-0.14805918111002436,-0.14428653016365686,-0.15518840771870368,-0.2339761958340565,-0.23388157577914506,-0.20535772827790888,-0.2512723708864698,-0.21244878884944907,-0.29353451360029786,-0.27759598713458317,-0.2719706687128355,-0.21327965841547714,-0.28186449873596986,-0.26007575508726666,-0.34756153496492626,-0.3246417992674336,-0.26222176866423386,-0.2381821995014197,-0.13407412591238244,-0.1851956565287273,-0.1626967559080597,-0.13657582322550046,-0.15638046105994624,-0.14989153063672797,-0.0983917089609394,-0.11011644444764399,-0.1340609290017226,-0.10675153608788643,-0.17382257828963454,-0.19968562082358624,-0.30319835509860776,-0.31026039551817663,-0.2918555947699919,-0.25768714578072455,-0.2096229174284136,-0.19038611010107617,-0.18125654370156452,-0.18081637444215762,-0.20327943265626044,-0.2636232755756164,-0.16453147751779285,-0.1986232923484885,-0.1822901854851702
